"","MUNIC_RES","ANO_MES_INTERNACAO","n_internacoes"
"585","280070","2019-04",2
"586","280130","2019-04",3
"587","280140","2019-04",1
"588","280170","2019-04",1
"589","280200","2019-04",5
"590","280210","2019-04",3
"591","280290","2019-04",1
"592","280300","2019-04",1
"593","280320","2019-04",1
"594","280350","2019-04",4
"595","280360","2019-04",1
"596","280390","2019-04",2
"597","280400","2019-04",1
"598","280470","2019-04",1
"599","280480","2019-04",4
"600","280510","2019-04",1
"601","280520","2019-04",1
"602","280590","2019-04",3
"603","280630","2019-04",1
"604","280650","2019-04",1
"605","280670","2019-04",1
"606","280680","2019-04",1
"607","280710","2019-04",1
"608","280740","2019-04",1
"609","291690","2019-04",1
"610","520140","2019-04",1
"611","270750","2019-05",1
"612","280020","2019-05",6
"613","280030","2019-05",19
"614","280060","2019-05",1
"615","280130","2019-05",3
"616","280210","2019-05",4
"617","280280","2019-05",1
"618","280290","2019-05",1
"619","280300","2019-05",1
"620","280320","2019-05",1
"621","280330","2019-05",1
"622","280350","2019-05",1
"623","280450","2019-05",1
"624","280460","2019-05",1
"625","280480","2019-05",4
"626","280490","2019-05",1
"627","280570","2019-05",3
"628","280580","2019-05",2
"629","280590","2019-05",4
"630","280600","2019-05",1
"631","280630","2019-05",2
"632","280650","2019-05",1
"633","280660","2019-05",1
"634","280670","2019-05",6
"635","280690","2019-05",1
"636","280710","2019-05",2
"637","280730","2019-05",1
"638","280740","2019-05",1
"639","280750","2019-05",1
"640","280020","2019-06",2
"641","280030","2019-06",10
"642","280050","2019-06",1
"643","280060","2019-06",3
"644","280067","2019-06",1
"645","280100","2019-06",1
"646","280110","2019-06",1
"647","280130","2019-06",3
"648","280140","2019-06",2
"649","280170","2019-06",1
"650","280210","2019-06",5
"651","280290","2019-06",2
"652","280300","2019-06",1
"653","280350","2019-06",1
"654","280360","2019-06",1
"655","280370","2019-06",1
"656","280430","2019-06",2
"657","280450","2019-06",1
"658","280470","2019-06",1
"659","280480","2019-06",3
"660","280540","2019-06",1
"661","280550","2019-06",1
"662","280570","2019-06",1
"663","280590","2019-06",1
"664","280620","2019-06",1
"665","280670","2019-06",2
"666","280690","2019-06",1
"667","280710","2019-06",1
"668","280750","2019-06",1
"669","290860","2019-06",1
"670","291790","2019-06",1
"671","292380","2019-06",1
"672","280010","2019-07",1
"673","280020","2019-07",3
"674","280030","2019-07",27
